,stemmers,lemmatize,replace_ngrams,num_grams,dic_extremes_nobelow,dic_extremes_noabove,num_topics,alpha
0,snowball,True,True,2,3,0.9,20,0.001
1,snowball,True,True,2,3,0.9,20,0.0001
2,snowball,True,True,2,3,0.9,20,0.01
3,snowball,True,True,2,3,0.9,30,0.001
4,snowball,True,True,2,3,0.9,30,0.0001
5,snowball,True,True,2,3,0.9,30,0.01
6,snowball,True,True,2,3,0.95,20,0.001
7,snowball,True,True,2,3,0.95,20,0.0001
8,snowball,True,True,2,3,0.95,20,0.01
9,snowball,True,True,2,3,0.95,30,0.001
10,snowball,True,True,2,3,0.95,30,0.0001
11,snowball,True,True,2,3,0.95,30,0.01
12,snowball,True,True,2,3,0.99,20,0.001
13,snowball,True,True,2,3,0.99,20,0.0001
14,snowball,True,True,2,3,0.99,20,0.01
15,snowball,True,True,2,3,0.99,30,0.001
16,snowball,True,True,2,3,0.99,30,0.0001
17,snowball,True,True,2,3,0.99,30,0.01
18,snowball,True,True,2,5,0.9,20,0.001
19,snowball,True,True,2,5,0.9,20,0.0001
20,snowball,True,True,2,5,0.9,20,0.01
21,snowball,True,True,2,5,0.9,30,0.001
22,snowball,True,True,2,5,0.9,30,0.0001
23,snowball,True,True,2,5,0.9,30,0.01
24,snowball,True,True,2,5,0.95,20,0.001
25,snowball,True,True,2,5,0.95,20,0.0001
26,snowball,True,True,2,5,0.95,20,0.01
27,snowball,True,True,2,5,0.95,30,0.001
28,snowball,True,True,2,5,0.95,30,0.0001
29,snowball,True,True,2,5,0.95,30,0.01
30,snowball,True,True,2,5,0.99,20,0.001
31,snowball,True,True,2,5,0.99,20,0.0001
32,snowball,True,True,2,5,0.99,20,0.01
33,snowball,True,True,2,5,0.99,30,0.001
34,snowball,True,True,2,5,0.99,30,0.0001
35,snowball,True,True,2,5,0.99,30,0.01
36,snowball,True,True,2,10,0.9,20,0.001
37,snowball,True,True,2,10,0.9,20,0.0001
38,snowball,True,True,2,10,0.9,20,0.01
39,snowball,True,True,2,10,0.9,30,0.001
40,snowball,True,True,2,10,0.9,30,0.0001
41,snowball,True,True,2,10,0.9,30,0.01
42,snowball,True,True,2,10,0.95,20,0.001
43,snowball,True,True,2,10,0.95,20,0.0001
44,snowball,True,True,2,10,0.95,20,0.01
45,snowball,True,True,2,10,0.95,30,0.001
46,snowball,True,True,2,10,0.95,30,0.0001
47,snowball,True,True,2,10,0.95,30,0.01
48,snowball,True,True,2,10,0.99,20,0.001
49,snowball,True,True,2,10,0.99,20,0.0001
50,snowball,True,True,2,10,0.99,20,0.01
51,snowball,True,True,2,10,0.99,30,0.001
52,snowball,True,True,2,10,0.99,30,0.0001
53,snowball,True,True,2,10,0.99,30,0.01
54,snowball,True,True,3,3,0.9,20,0.001
55,snowball,True,True,3,3,0.9,20,0.0001
56,snowball,True,True,3,3,0.9,20,0.01
57,snowball,True,True,3,3,0.9,30,0.001
58,snowball,True,True,3,3,0.9,30,0.0001
59,snowball,True,True,3,3,0.9,30,0.01
60,snowball,True,True,3,3,0.95,20,0.001
61,snowball,True,True,3,3,0.95,20,0.0001
62,snowball,True,True,3,3,0.95,20,0.01
63,snowball,True,True,3,3,0.95,30,0.001
64,snowball,True,True,3,3,0.95,30,0.0001
65,snowball,True,True,3,3,0.95,30,0.01
66,snowball,True,True,3,3,0.99,20,0.001
67,snowball,True,True,3,3,0.99,20,0.0001
68,snowball,True,True,3,3,0.99,20,0.01
69,snowball,True,True,3,3,0.99,30,0.001
70,snowball,True,True,3,3,0.99,30,0.0001
71,snowball,True,True,3,3,0.99,30,0.01
72,snowball,True,True,3,5,0.9,20,0.001
73,snowball,True,True,3,5,0.9,20,0.0001
74,snowball,True,True,3,5,0.9,20,0.01
75,snowball,True,True,3,5,0.9,30,0.001
76,snowball,True,True,3,5,0.9,30,0.0001
77,snowball,True,True,3,5,0.9,30,0.01
78,snowball,True,True,3,5,0.95,20,0.001
79,snowball,True,True,3,5,0.95,20,0.0001
80,snowball,True,True,3,5,0.95,20,0.01
81,snowball,True,True,3,5,0.95,30,0.001
82,snowball,True,True,3,5,0.95,30,0.0001
83,snowball,True,True,3,5,0.95,30,0.01
84,snowball,True,True,3,5,0.99,20,0.001
85,snowball,True,True,3,5,0.99,20,0.0001
86,snowball,True,True,3,5,0.99,20,0.01
87,snowball,True,True,3,5,0.99,30,0.001
88,snowball,True,True,3,5,0.99,30,0.0001
89,snowball,True,True,3,5,0.99,30,0.01
90,snowball,True,True,3,10,0.9,20,0.001
91,snowball,True,True,3,10,0.9,20,0.0001
92,snowball,True,True,3,10,0.9,20,0.01
93,snowball,True,True,3,10,0.9,30,0.001
94,snowball,True,True,3,10,0.9,30,0.0001
95,snowball,True,True,3,10,0.9,30,0.01
96,snowball,True,True,3,10,0.95,20,0.001
97,snowball,True,True,3,10,0.95,20,0.0001
98,snowball,True,True,3,10,0.95,20,0.01
99,snowball,True,True,3,10,0.95,30,0.001
100,snowball,True,True,3,10,0.95,30,0.0001
101,snowball,True,True,3,10,0.95,30,0.01
102,snowball,True,True,3,10,0.99,20,0.001
103,snowball,True,True,3,10,0.99,20,0.0001
104,snowball,True,True,3,10,0.99,20,0.01
105,snowball,True,True,3,10,0.99,30,0.001
106,snowball,True,True,3,10,0.99,30,0.0001
107,snowball,True,True,3,10,0.99,30,0.01
108,snowball,True,False,2,3,0.9,20,0.001
109,snowball,True,False,2,3,0.9,20,0.0001
110,snowball,True,False,2,3,0.9,20,0.01
111,snowball,True,False,2,3,0.9,30,0.001
112,snowball,True,False,2,3,0.9,30,0.0001
113,snowball,True,False,2,3,0.9,30,0.01
114,snowball,True,False,2,3,0.95,20,0.001
115,snowball,True,False,2,3,0.95,20,0.0001
116,snowball,True,False,2,3,0.95,20,0.01
117,snowball,True,False,2,3,0.95,30,0.001
118,snowball,True,False,2,3,0.95,30,0.0001
119,snowball,True,False,2,3,0.95,30,0.01
120,snowball,True,False,2,3,0.99,20,0.001
121,snowball,True,False,2,3,0.99,20,0.0001
122,snowball,True,False,2,3,0.99,20,0.01
123,snowball,True,False,2,3,0.99,30,0.001
124,snowball,True,False,2,3,0.99,30,0.0001
125,snowball,True,False,2,3,0.99,30,0.01
126,snowball,True,False,2,5,0.9,20,0.001
127,snowball,True,False,2,5,0.9,20,0.0001
128,snowball,True,False,2,5,0.9,20,0.01
129,snowball,True,False,2,5,0.9,30,0.001
130,snowball,True,False,2,5,0.9,30,0.0001
131,snowball,True,False,2,5,0.9,30,0.01
132,snowball,True,False,2,5,0.95,20,0.001
133,snowball,True,False,2,5,0.95,20,0.0001
134,snowball,True,False,2,5,0.95,20,0.01
135,snowball,True,False,2,5,0.95,30,0.001
136,snowball,True,False,2,5,0.95,30,0.0001
137,snowball,True,False,2,5,0.95,30,0.01
138,snowball,True,False,2,5,0.99,20,0.001
139,snowball,True,False,2,5,0.99,20,0.0001
140,snowball,True,False,2,5,0.99,20,0.01
141,snowball,True,False,2,5,0.99,30,0.001
142,snowball,True,False,2,5,0.99,30,0.0001
143,snowball,True,False,2,5,0.99,30,0.01
144,snowball,True,False,2,10,0.9,20,0.001
145,snowball,True,False,2,10,0.9,20,0.0001
146,snowball,True,False,2,10,0.9,20,0.01
147,snowball,True,False,2,10,0.9,30,0.001
148,snowball,True,False,2,10,0.9,30,0.0001
149,snowball,True,False,2,10,0.9,30,0.01
150,snowball,True,False,2,10,0.95,20,0.001
151,snowball,True,False,2,10,0.95,20,0.0001
152,snowball,True,False,2,10,0.95,20,0.01
153,snowball,True,False,2,10,0.95,30,0.001
154,snowball,True,False,2,10,0.95,30,0.0001
155,snowball,True,False,2,10,0.95,30,0.01
156,snowball,True,False,2,10,0.99,20,0.001
157,snowball,True,False,2,10,0.99,20,0.0001
158,snowball,True,False,2,10,0.99,20,0.01
159,snowball,True,False,2,10,0.99,30,0.001
160,snowball,True,False,2,10,0.99,30,0.0001
161,snowball,True,False,2,10,0.99,30,0.01
162,snowball,True,False,3,3,0.9,20,0.001
163,snowball,True,False,3,3,0.9,20,0.0001
164,snowball,True,False,3,3,0.9,20,0.01
165,snowball,True,False,3,3,0.9,30,0.001
166,snowball,True,False,3,3,0.9,30,0.0001
167,snowball,True,False,3,3,0.9,30,0.01
168,snowball,True,False,3,3,0.95,20,0.001
169,snowball,True,False,3,3,0.95,20,0.0001
170,snowball,True,False,3,3,0.95,20,0.01
171,snowball,True,False,3,3,0.95,30,0.001
172,snowball,True,False,3,3,0.95,30,0.0001
173,snowball,True,False,3,3,0.95,30,0.01
174,snowball,True,False,3,3,0.99,20,0.001
175,snowball,True,False,3,3,0.99,20,0.0001
176,snowball,True,False,3,3,0.99,20,0.01
177,snowball,True,False,3,3,0.99,30,0.001
178,snowball,True,False,3,3,0.99,30,0.0001
179,snowball,True,False,3,3,0.99,30,0.01
180,snowball,True,False,3,5,0.9,20,0.001
181,snowball,True,False,3,5,0.9,20,0.0001
182,snowball,True,False,3,5,0.9,20,0.01
183,snowball,True,False,3,5,0.9,30,0.001
184,snowball,True,False,3,5,0.9,30,0.0001
185,snowball,True,False,3,5,0.9,30,0.01
186,snowball,True,False,3,5,0.95,20,0.001
187,snowball,True,False,3,5,0.95,20,0.0001
188,snowball,True,False,3,5,0.95,20,0.01
189,snowball,True,False,3,5,0.95,30,0.001
190,snowball,True,False,3,5,0.95,30,0.0001
191,snowball,True,False,3,5,0.95,30,0.01
192,snowball,True,False,3,5,0.99,20,0.001
193,snowball,True,False,3,5,0.99,20,0.0001
194,snowball,True,False,3,5,0.99,20,0.01
195,snowball,True,False,3,5,0.99,30,0.001
196,snowball,True,False,3,5,0.99,30,0.0001
197,snowball,True,False,3,5,0.99,30,0.01
198,snowball,True,False,3,10,0.9,20,0.001
199,snowball,True,False,3,10,0.9,20,0.0001
200,snowball,True,False,3,10,0.9,20,0.01
201,snowball,True,False,3,10,0.9,30,0.001
202,snowball,True,False,3,10,0.9,30,0.0001
203,snowball,True,False,3,10,0.9,30,0.01
204,snowball,True,False,3,10,0.95,20,0.001
205,snowball,True,False,3,10,0.95,20,0.0001
206,snowball,True,False,3,10,0.95,20,0.01
207,snowball,True,False,3,10,0.95,30,0.001
208,snowball,True,False,3,10,0.95,30,0.0001
209,snowball,True,False,3,10,0.95,30,0.01
210,snowball,True,False,3,10,0.99,20,0.001
211,snowball,True,False,3,10,0.99,20,0.0001
212,snowball,True,False,3,10,0.99,20,0.01
213,snowball,True,False,3,10,0.99,30,0.001
214,snowball,True,False,3,10,0.99,30,0.0001
215,snowball,True,False,3,10,0.99,30,0.01
216,snowball,False,True,2,3,0.9,20,0.001
217,snowball,False,True,2,3,0.9,20,0.0001
218,snowball,False,True,2,3,0.9,20,0.01
219,snowball,False,True,2,3,0.9,30,0.001
220,snowball,False,True,2,3,0.9,30,0.0001
221,snowball,False,True,2,3,0.9,30,0.01
222,snowball,False,True,2,3,0.95,20,0.001
223,snowball,False,True,2,3,0.95,20,0.0001
224,snowball,False,True,2,3,0.95,20,0.01
225,snowball,False,True,2,3,0.95,30,0.001
226,snowball,False,True,2,3,0.95,30,0.0001
227,snowball,False,True,2,3,0.95,30,0.01
228,snowball,False,True,2,3,0.99,20,0.001
229,snowball,False,True,2,3,0.99,20,0.0001
230,snowball,False,True,2,3,0.99,20,0.01
231,snowball,False,True,2,3,0.99,30,0.001
232,snowball,False,True,2,3,0.99,30,0.0001
233,snowball,False,True,2,3,0.99,30,0.01
234,snowball,False,True,2,5,0.9,20,0.001
235,snowball,False,True,2,5,0.9,20,0.0001
236,snowball,False,True,2,5,0.9,20,0.01
237,snowball,False,True,2,5,0.9,30,0.001
238,snowball,False,True,2,5,0.9,30,0.0001
239,snowball,False,True,2,5,0.9,30,0.01
240,snowball,False,True,2,5,0.95,20,0.001
241,snowball,False,True,2,5,0.95,20,0.0001
242,snowball,False,True,2,5,0.95,20,0.01
243,snowball,False,True,2,5,0.95,30,0.001
244,snowball,False,True,2,5,0.95,30,0.0001
245,snowball,False,True,2,5,0.95,30,0.01
246,snowball,False,True,2,5,0.99,20,0.001
247,snowball,False,True,2,5,0.99,20,0.0001
248,snowball,False,True,2,5,0.99,20,0.01
249,snowball,False,True,2,5,0.99,30,0.001
250,snowball,False,True,2,5,0.99,30,0.0001
251,snowball,False,True,2,5,0.99,30,0.01
252,snowball,False,True,2,10,0.9,20,0.001
253,snowball,False,True,2,10,0.9,20,0.0001
254,snowball,False,True,2,10,0.9,20,0.01
255,snowball,False,True,2,10,0.9,30,0.001
256,snowball,False,True,2,10,0.9,30,0.0001
257,snowball,False,True,2,10,0.9,30,0.01
258,snowball,False,True,2,10,0.95,20,0.001
259,snowball,False,True,2,10,0.95,20,0.0001
260,snowball,False,True,2,10,0.95,20,0.01
261,snowball,False,True,2,10,0.95,30,0.001
262,snowball,False,True,2,10,0.95,30,0.0001
263,snowball,False,True,2,10,0.95,30,0.01
264,snowball,False,True,2,10,0.99,20,0.001
265,snowball,False,True,2,10,0.99,20,0.0001
266,snowball,False,True,2,10,0.99,20,0.01
267,snowball,False,True,2,10,0.99,30,0.001
268,snowball,False,True,2,10,0.99,30,0.0001
269,snowball,False,True,2,10,0.99,30,0.01
270,snowball,False,True,3,3,0.9,20,0.001
271,snowball,False,True,3,3,0.9,20,0.0001
272,snowball,False,True,3,3,0.9,20,0.01
273,snowball,False,True,3,3,0.9,30,0.001
274,snowball,False,True,3,3,0.9,30,0.0001
275,snowball,False,True,3,3,0.9,30,0.01
276,snowball,False,True,3,3,0.95,20,0.001
277,snowball,False,True,3,3,0.95,20,0.0001
278,snowball,False,True,3,3,0.95,20,0.01
279,snowball,False,True,3,3,0.95,30,0.001
280,snowball,False,True,3,3,0.95,30,0.0001
281,snowball,False,True,3,3,0.95,30,0.01
282,snowball,False,True,3,3,0.99,20,0.001
283,snowball,False,True,3,3,0.99,20,0.0001
284,snowball,False,True,3,3,0.99,20,0.01
285,snowball,False,True,3,3,0.99,30,0.001
286,snowball,False,True,3,3,0.99,30,0.0001
287,snowball,False,True,3,3,0.99,30,0.01
288,snowball,False,True,3,5,0.9,20,0.001
289,snowball,False,True,3,5,0.9,20,0.0001
290,snowball,False,True,3,5,0.9,20,0.01
291,snowball,False,True,3,5,0.9,30,0.001
292,snowball,False,True,3,5,0.9,30,0.0001
293,snowball,False,True,3,5,0.9,30,0.01
294,snowball,False,True,3,5,0.95,20,0.001
295,snowball,False,True,3,5,0.95,20,0.0001
296,snowball,False,True,3,5,0.95,20,0.01
297,snowball,False,True,3,5,0.95,30,0.001
298,snowball,False,True,3,5,0.95,30,0.0001
299,snowball,False,True,3,5,0.95,30,0.01
300,snowball,False,True,3,5,0.99,20,0.001
301,snowball,False,True,3,5,0.99,20,0.0001
302,snowball,False,True,3,5,0.99,20,0.01
303,snowball,False,True,3,5,0.99,30,0.001
304,snowball,False,True,3,5,0.99,30,0.0001
305,snowball,False,True,3,5,0.99,30,0.01
306,snowball,False,True,3,10,0.9,20,0.001
307,snowball,False,True,3,10,0.9,20,0.0001
308,snowball,False,True,3,10,0.9,20,0.01
309,snowball,False,True,3,10,0.9,30,0.001
310,snowball,False,True,3,10,0.9,30,0.0001
311,snowball,False,True,3,10,0.9,30,0.01
312,snowball,False,True,3,10,0.95,20,0.001
313,snowball,False,True,3,10,0.95,20,0.0001
314,snowball,False,True,3,10,0.95,20,0.01
315,snowball,False,True,3,10,0.95,30,0.001
316,snowball,False,True,3,10,0.95,30,0.0001
317,snowball,False,True,3,10,0.95,30,0.01
318,snowball,False,True,3,10,0.99,20,0.001
319,snowball,False,True,3,10,0.99,20,0.0001
320,snowball,False,True,3,10,0.99,20,0.01
321,snowball,False,True,3,10,0.99,30,0.001
322,snowball,False,True,3,10,0.99,30,0.0001
323,snowball,False,True,3,10,0.99,30,0.01
324,snowball,False,False,2,3,0.9,20,0.001
325,snowball,False,False,2,3,0.9,20,0.0001
326,snowball,False,False,2,3,0.9,20,0.01
327,snowball,False,False,2,3,0.9,30,0.001
328,snowball,False,False,2,3,0.9,30,0.0001
329,snowball,False,False,2,3,0.9,30,0.01
